sample	donor	tissue	purity	ploidy	WGD	cohort	Missing_Files
PPCG0135a	PPCG0135	Primary	0.420	1.810	False	PPCG	.
PPCG0136a	PPCG0136	Primary	0.410	1.691	False	PPCG	.
PPCG0137a	PPCG0137	Primary	0.919	1.586	False	PPCG	.
PPCG0138a	PPCG0138	Primary	0.575	1.667	False	PPCG	.
PPCG0139a	PPCG0139	Primary	0.797	1.576	False	PPCG	.
PPCG0140a	PPCG0140	Primary	0.495	3.900	True	PPCG	.
PPCG0141a	PPCG0141	Primary	0.665	1.627	False	PPCG	.
PPCG0142a	PPCG0142	Primary	0.240	2.614	False	PPCG	SV
PPCG0143a	PPCG0143	Primary	0.480	1.886	False	PPCG	.
PPCG0144a	PPCG0144	Primary	0.390	2.018	False	PPCG	INDEL
PPCG0145a	PPCG0145	Primary	0.320	1.944	False	PPCG	INDEL,SNV,SV
PPCG0146a	PPCG0146	Primary	0.419	2.033	False	PPCG	.
PPCG0147a	PPCG0147	Primary	0.370	2.909	False	PPCG	SV
PPCG0148a	PPCG0148	Primary	0.328	1.786	False	PPCG	.
PPCG0149a	PPCG0149	Primary	0.404	5.644	True	PPCG	.
PPCG0150a	PPCG0150	Primary	0.649	1.639	False	PPCG	.
PPCG0151a	PPCG0151	Primary	0.480	1.823	False	PPCG	.
PPCG0152a	PPCG0152	Primary	0.391	1.755	False	PPCG	.
PPCG0153a	PPCG0153	Primary	0.636	1.510	False	PPCG	.
PPCG0154a	PPCG0154	Primary	0.340	2.078	False	PPCG	INDEL
PPCG0155a	PPCG0155	Primary	0.360	4.613	False	PPCG	.
PPCG0156a	PPCG0156	Primary	1.000	1.947	False	PPCG	SV
PPCG0157a	PPCG0157	Primary	0.484	2.730	False	PPCG	.
PPCG0158a	PPCG0158	Primary	0.340	1.859	False	PPCG	.
PPCG0159a	PPCG0159	Primary	0.714	1.886	False	PPCG	.
PPCG0160a	PPCG0160	Primary	0.626	1.934	False	PPCG	.
PPCG0161a	PPCG0161	Primary	0.337	2.151	False	PPCG	.
PPCG0162a	PPCG0162	Primary	0.319	4.766	True	PPCG	.
PPCG0163a	PPCG0163	Primary	0.464	2.000	False	PPCG	.
PPCG0164a	PPCG0164	Primary	0.651	1.633	False	PPCG	.
PPCG0165a	PPCG0165	Primary	0.542	1.593	False	PPCG	.
PPCG0166a	PPCG0166	Primary	0.724	1.918	False	PPCG	.
PPCG0167a	PPCG0167	Primary	0.359	1.674	False	PPCG	.
PPCG0168a	PPCG0168	Primary	0.380	1.804	False	PPCG	.
PPCG0169a	PPCG0169	Primary	0.340	2.034	False	PPCG	SV
PPCG0170a	PPCG0170	Primary	0.556	2.034	False	PPCG	.
PPCG0172a	PPCG0172	Primary	0.378	2.738	True	PPCG	.
PPCG0173a	PPCG0173	Primary	0.591	1.561	False	PPCG	.
PPCG0174a	PPCG0174	Primary	0.735	1.468	False	PPCG	.
PPCG0175a	PPCG0175	Primary	0.400	1.825	False	PPCG	INDEL,SV
PPCG0176a	PPCG0176	Primary	0.831	2.189	False	PPCG	.
PPCG0177a	PPCG0177	Primary	0.261	2.771	False	PPCG	.
PPCG0178a	PPCG0178	Primary	0.566	1.817	False	PPCG	.
PPCG0184a	PPCG0184	Primary	0.610	1.593	False	PPCG	.
PPCG0185a	PPCG0185	Primary	0.729	1.675	False	PPCG	.
PPCG0186a	PPCG0186	Primary	0.505	1.599	False	PPCG	.
PPCG0187a	PPCG0187	Primary	0.649	1.450	False	PPCG	.
PPCG0188a	PPCG0188	Primary	0.636	1.901	False	PPCG	.
PPCG0189a	PPCG0189	Primary	0.814	1.803	False	PPCG	.
PPCG0190a	PPCG0190	Primary	0.447	1.609	False	PPCG	.
PPCG0191a	PPCG0191	Primary	0.209	1.859	False	PPCG	.
PPCG0192a	PPCG0192	Primary	0.706	1.746	False	PPCG	.
PPCG0193a	PPCG0193	Primary	0.414	1.716	False	PPCG	.
PPCG0194a	PPCG0194	Primary	0.133	2.028	False	PPCG	.
PPCG0195a	PPCG0195	Primary	0.419	3.898	True	PPCG	.
PPCG0196a	PPCG0196	Primary	0.535	1.642	False	PPCG	.
PPCG0197a	PPCG0197	Primary	0.258	1.752	False	PPCG	INDEL
PPCG0198a	PPCG0198	Primary	0.190	1.682	False	PPCG	INDEL
PPCG0199a	PPCG0199	Primary	0.611	1.987	False	PPCG	.
PPCG0200a	PPCG0200	Primary	0.230	1.612	False	PPCG	.
PPCG0201a	PPCG0201	Primary	0.150	1.920	False	PPCG	INDEL,SV
PPCG0202a	PPCG0202	Primary	0.453	4.745	True	PPCG	.
PPCG0203a	PPCG0203	Primary	0.636	1.667	False	PPCG	.
PPCG0204a	PPCG0204	Primary	0.569	1.820	False	PPCG	.
PPCG0205a	PPCG0205	Primary	0.614	3.257	True	PPCG	.
PPCG0206a	PPCG0206	Primary	0.563	1.930	False	PPCG	.
PPCG0207c	PPCG0207	Primary	0.693	1.677	False	PPCG	.
PPCG0208a	PPCG0208	Primary	0.543	1.697	False	PPCG	.
PPCG0209a	PPCG0209	Primary	0.364	1.896	False	PPCG	.
PPCG0210a	PPCG0210	Primary	0.789	1.730	False	PPCG	.
PPCG0211a	PPCG0211	Primary	0.456	1.605	False	PPCG	.
PPCG0212a	PPCG0212	Primary	0.417	1.707	False	PPCG	.
PPCG0213a	PPCG0213	Primary	0.330	2.038	False	PPCG	INDEL,SV
PPCG0214a	PPCG0214	Primary	0.696	1.643	False	PPCG	.
PPCG0215a	PPCG0215	Primary	0.660	1.857	False	PPCG	.
PPCG0216a	PPCG0216	Primary	0.560	1.756	False	PPCG	.
PPCG0217a	PPCG0217	Primary	0.751	4.019	True	PPCG	.
PPCG0218a	PPCG0218	Primary	0.566	3.392	True	PPCG	.
PPCG0219a	PPCG0219	Primary	0.457	1.646	False	PPCG	.
PPCG0220a	PPCG0220	Primary	0.801	1.539	False	PPCG	.
PPCG0221a	PPCG0221	Primary	0.403	1.849	False	PPCG	SV
PPCG0222a	PPCG0222	Primary	0.650	1.733	False	PPCG	INDEL
PPCG0223a	PPCG0223	Primary	0.721	1.729	False	PPCG	.
PPCG0224a	PPCG0224	Primary	0.595	3.111	True	PPCG	.
PPCG0225a	PPCG0225	Primary	0.459	1.605	False	PPCG	.
PPCG0226a	PPCG0226	Primary	0.422	1.841	False	PPCG	.
PPCG0227a	PPCG0227	Primary	0.391	1.816	False	PPCG	.
PPCG0228a	PPCG0228	Primary	0.523	1.615	False	PPCG	.
PPCG0229a	PPCG0229	Primary	0.677	2.052	False	PPCG	.
PPCG0230a	PPCG0230	Primary	0.284	1.708	False	PPCG	.
PPCG0231a	PPCG0231	Primary	0.587	2.019	False	PPCG	.
PPCG0232a	PPCG0232	Primary	0.170	1.933	False	PPCG	INDEL,SV
PPCG0233a	PPCG0233	Primary	0.360	2.822	False	PPCG	.
PPCG0234a	PPCG0234	Primary	0.567	1.678	False	PPCG	.
PPCG0235a	PPCG0235	Primary	0.563	2.033	False	PPCG	SV
PPCG0236a	PPCG0236	Primary	0.140	2.161	False	PPCG	INDEL,SV
PPCG0237a	PPCG0237	Primary	0.448	1.881	False	PPCG	.
PPCG0238a	PPCG0238	Primary	0.782	1.693	False	PPCG	.
PPCG0239a	PPCG0239	Primary	0.748	2.068	False	PPCG	.
PPCG0240a	PPCG0240	Primary	0.217	1.777	False	PPCG	.
PPCG0241a	PPCG0241	Primary	0.917	1.555	False	PPCG	.
PPCG0242a	PPCG0242	Primary	0.410	1.797	False	PPCG	SV
PPCG0252a	PPCG0252	Primary	0.423	1.800	False	PPCG	.
PPCG0253a	PPCG0253	Primary	0.625	1.634	False	PPCG	.
PPCG0254a	PPCG0254	Primary	0.518	1.634	False	PPCG	.
PPCG0255a	PPCG0255	Primary	0.556	1.750	False	PPCG	.
PPCG0256a	PPCG0256	Primary	0.181	1.648	False	PPCG	.
PPCG0257a	PPCG0257	Primary	0.534	1.705	False	PPCG	.
PPCG0258a	PPCG0258	Primary	0.649	1.541	False	PPCG	.
PPCG0259a	PPCG0259	Primary	0.394	1.745	False	PPCG	.
PPCG0260a	PPCG0260	Primary	0.858	1.600	False	PPCG	.
PPCG0261a	PPCG0261	Primary	0.333	1.961	False	PPCG	.
PPCG0262a	PPCG0262	Primary	0.631	1.717	False	PPCG	.
PPCG0263a	PPCG0263	Primary	0.624	1.641	False	PPCG	.
PPCG0264a	PPCG0264	Primary	0.598	1.641	False	PPCG	.
PPCG0265a	PPCG0265	Primary	0.533	1.753	False	PPCG	.
PPCG0266a	PPCG0266	Primary	0.295	1.902	False	PPCG	.
PPCG0267a	PPCG0267	Primary	0.449	1.754	False	PPCG	.
PPCG0268a	PPCG0268	Primary	0.456	1.621	False	PPCG	.
PPCG0269a	PPCG0269	Primary	0.233	1.729	False	PPCG	.
PPCG0270a	PPCG0270	Primary	0.681	3.641	True	PPCG	.
PPCG0271a	PPCG0271	Primary	0.734	1.483	False	PPCG	.
PPCG0272a	PPCG0272	Primary	0.386	3.623	True	PPCG	.
PPCG0273a	PPCG0273	Primary	0.820	1.975	False	PPCG	.
PPCG0274a	PPCG0274	Primary	0.681	1.764	False	PPCG	.
PPCG0275a	PPCG0275	Primary	0.589	1.595	False	PPCG	.
PPCG0276a	PPCG0276	Primary	0.737	1.479	False	PPCG	.
PPCG0277a	PPCG0277	Primary	0.655	1.775	False	PPCG	.
PPCG0278a	PPCG0278	Primary	0.316	1.767	False	PPCG	.
PPCG0279a	PPCG0279	Primary	0.743	1.665	False	PPCG	.
PPCG0280a	PPCG0280	Primary	0.270	3.523	True	PPCG	.
PPCG0281a	PPCG0281	Primary	0.219	1.782	False	PPCG	.
PPCG0282a	PPCG0282	Primary	0.470	1.941	False	PPCG	.
PPCG0283a	PPCG0283	Primary	0.751	1.796	False	PPCG	.
PPCG0284a	PPCG0284	Primary	0.503	1.514	False	PPCG	.
PPCG0285a	PPCG0285	Primary	0.462	2.058	False	PPCG	.
PPCG0286a	PPCG0286	Primary	0.333	1.903	False	PPCG	.
PPCG0287a	PPCG0287	Primary	0.346	1.919	False	PPCG	.
PPCG0288c	PPCG0288	Primary	0.813	1.895	False	PPCG	.
PPCG0289a	PPCG0289	Primary	0.410	3.511	True	PPCG	.
PPCG0290a	PPCG0290	Primary	0.446	3.506	True	PPCG	.
PPCG0291a	PPCG0291	Primary	0.598	1.783	False	PPCG	.
PPCG0292a	PPCG0292	Primary	0.478	1.646	False	PPCG	.
PPCG0293a	PPCG0293	Primary	0.485	1.773	False	PPCG	.
PPCG0294a	PPCG0294	Primary	0.442	1.766	False	PPCG	.
PPCG0295a	PPCG0295	Primary	0.380	1.639	False	PPCG	.
PPCG0296a	PPCG0296	Primary	0.518	1.747	False	PPCG	.
PPCG0297a	PPCG0297	Primary	0.602	3.288	True	PPCG	.
PPCG0298a	PPCG0298	Primary	0.593	1.788	False	PPCG	.
PPCG0299a	PPCG0299	Primary	0.460	1.926	False	PPCG	INDEL,SV
PPCG0300a	PPCG0300	Primary	0.787	1.714	False	PPCG	.
PPCG0301a	PPCG0301	Primary	0.522	1.573	False	PPCG	.
PPCG0302a	PPCG0302	Primary	0.720	1.621	False	PPCG	.
PPCG0303a	PPCG0303	Primary	0.593	1.675	False	PPCG	.
PPCG0304a	PPCG0304	Primary	0.466	2.602	False	PPCG	.
PPCG0305a	PPCG0305	Primary	0.571	1.507	False	PPCG	.
PPCG0306a	PPCG0306	Primary	0.746	1.620	False	PPCG	.
PPCG0307a	PPCG0307	Primary	0.684	1.563	False	PPCG	.
PPCG0308a	PPCG0308	Primary	0.564	2.000	False	PPCG	.
PPCG0309a	PPCG0309	Primary	0.544	1.822	False	PPCG	.
PPCG0310a	PPCG0310	Primary	0.500	1.754	False	PPCG	.
PPCG0311a	PPCG0311	Primary	0.505	1.859	False	PPCG	.
PPCG0312a	PPCG0312	Primary	0.336	3.616	True	PPCG	INDEL
PPCG0313a	PPCG0313	Primary	0.506	2.353	False	PPCG	.
PPCG0314a	PPCG0314	Primary	0.210	1.898	False	PPCG	INDEL
PPCG0315a	PPCG0315	Primary	0.390	1.900	False	PPCG	.
PPCG0316a	PPCG0316	Primary	0.405	1.640	False	PPCG	.
PPCG0317a	PPCG0317	Primary	0.383	1.717	False	PPCG	.
PPCG0318a	PPCG0318	Primary	0.427	1.779	False	PPCG	.
PPCG0319a	PPCG0319	Primary	0.502	1.727	False	PPCG	.
PPCG0320a	PPCG0320	Primary	0.305	2.934	True	PPCG	.
PPCG0321a	PPCG0321	Primary	0.552	3.073	True	PPCG	.
PPCG0322a	PPCG0322	Primary	0.246	2.089	False	PPCG	.
PPCG0323a	PPCG0323	Primary	0.414	1.739	False	PPCG	.
PPCG0324a	PPCG0324	Primary	0.469	1.750	False	PPCG	.
PPCG0325a	PPCG0325	Primary	0.607	1.719	False	PPCG	.
PPCG0326a	PPCG0326	Primary	0.499	1.699	False	PPCG	.
PPCG0327a	PPCG0327	Primary	0.343	1.650	False	PPCG	.
PPCG0328a	PPCG0328	Primary	0.588	1.685	False	PPCG	.
PPCG0329a	PPCG0329	Primary	0.229	1.798	False	PPCG	.
PPCG0330a	PPCG0330	Primary	0.466	1.645	False	PPCG	.
PPCG0331a	PPCG0331	Primary	0.504	1.765	False	PPCG	.
PPCG0332a	PPCG0332	Primary	0.364	1.844	False	PPCG	.
PPCG0333a	PPCG0333	Primary	0.325	1.833	False	PPCG	.
PPCG0334a	PPCG0334	Primary	0.536	1.780	False	PPCG	.
PPCG0335a	PPCG0335	Primary	0.452	1.696	False	PPCG	.
PPCG0336a	PPCG0336	Primary	0.400	1.776	False	PPCG	.
PPCG0337a	PPCG0337	Primary	0.713	1.916	False	PPCG	.
PPCG0338a	PPCG0338	Primary	0.419	1.710	False	PPCG	.
PPCG0339a	PPCG0339	Primary	0.190	1.891	False	PPCG	.
PPCG0340a	PPCG0340	Primary	0.675	1.616	False	PPCG	.
PPCG0341a	PPCG0341	Primary	0.486	1.919	False	PPCG	.
PPCG0342a	PPCG0342	Primary	0.582	1.826	False	PPCG	.
PPCG0343a	PPCG0343	Primary	0.214	1.755	False	PPCG	.
PPCG0344a	PPCG0344	Primary	0.729	1.829	False	PPCG	.
PPCG0345a	PPCG0345	Primary	0.418	1.731	False	PPCG	.
PPCG0346a	PPCG0346	Primary	0.363	1.725	False	PPCG	.
PPCG0347a	PPCG0347	Primary	0.317	1.637	False	PPCG	.
PPCG0348a	PPCG0348	Primary	0.847	1.399	False	PPCG	.
PPCG0349a	PPCG0349	Primary	0.752	1.662	False	PPCG	.
PPCG0350a	PPCG0350	Primary	0.485	1.831	False	PPCG	.
PPCG0351a	PPCG0351	Primary	0.380	3.589	True	PPCG	.
PPCG0352a	PPCG0352	Primary	0.592	1.867	False	PPCG	.
PPCG0353a	PPCG0353	Primary	0.577	1.654	False	PPCG	.
PPCG0354a	PPCG0354	Primary	0.530	1.867	False	PPCG	.
PPCG0355a	PPCG0355	Primary	0.397	1.609	False	PPCG	.
PPCG0356a	PPCG0356	Primary	0.679	1.644	False	PPCG	.
PPCG0357a	PPCG0357	Primary	0.570	1.906	False	PPCG	.
PPCG0358a	PPCG0358	Primary	0.604	1.818	False	PPCG	.
PPCG0366a	PPCG0366	Primary	0.667	2.000	False	PPCG	.
PPCG0367a	PPCG0367	Primary	0.792	1.609	False	PPCG	.
PPCG0368a	PPCG0368	Primary	0.290	2.309	False	PPCG	.
PPCG0369a	PPCG0369	Primary	0.492	3.642	True	PPCG	.
PPCG0370a	PPCG0370	Primary	0.768	1.821	False	PPCG	.
PPCG0371a	PPCG0371	Primary	0.291	1.750	False	PPCG	.
PPCG0372a	PPCG0372	Primary	0.240	1.832	False	PPCG	.
PPCG0373a	PPCG0373	Primary	0.484	1.770	False	PPCG	.
PPCG0374a	PPCG0374	Primary	0.758	1.810	False	PPCG	.
PPCG0375a	PPCG0375	Primary	0.260	1.933	False	PPCG	.
PPCG0376a	PPCG0376	Primary	0.346	1.946	False	PPCG	.
PPCG0377a	PPCG0377	Primary	0.315	1.837	False	PPCG	.
PPCG0378a	PPCG0378	Primary	0.502	1.663	False	PPCG	.
PPCG0379a	PPCG0379	Primary	0.400	1.619	False	PPCG	.
PPCG0380a	PPCG0380	Primary	0.672	2.279	False	PPCG	.
PPCG0381a	PPCG0381	Primary	0.400	1.732	False	PPCG	.
PPCG0382a	PPCG0382	Primary	0.666	1.810	False	PPCG	.
PPCG0383a	PPCG0383	Primary	0.777	1.906	False	PPCG	.
PPCG0384a	PPCG0384	Primary	0.813	1.439	False	PPCG	.
PPCG0385a	PPCG0385	Primary	0.396	2.795	False	PPCG	.
PPCG0386a	PPCG0386	Primary	0.408	3.154	False	PPCG	.
PPCG0401a	PPCG0401	Primary	0.171	2.768	False	PPCG	.
PPCG0402a	PPCG0402	Primary	0.954	1.938	False	PPCG	INDEL,SV
PPCG0408a	PPCG0408	Primary	0.552	2.089	False	PPCG	.
PPCG0409a	PPCG0409	Primary	0.407	2.108	False	PPCG	.
PPCG0414a	PPCG0414	Primary	0.370	1.887	False	PPCG	.
PPCG0418a	PPCG0418	Primary	0.380	1.809	False	PPCG	.
PPCG0419a	PPCG0419	Primary	0.420	1.714	False	PPCG	SV
PPCG0420a	PPCG0420	Primary	0.410	2.886	False	PPCG	SV
PPCG0426a	PPCG0426	Primary	0.613	1.771	False	PPCG	.
PPCG0438a	PPCG0438	Primary	0.441	1.764	False	PPCG	.
PPCG0440a	PPCG0440	Primary	0.319	2.438	False	PPCG	.
PPCG0440b	PPCG0440	Primary	0.865	2.005	False	PPCG	.
PPCG0443b	PPCG0443	Primary	0.728	1.778	False	PPCG	.
PPCG0444b	PPCG0444	Primary	0.476	2.519	False	PPCG	.
PPCG0446b	PPCG0446	Primary	0.659	1.800	False	PPCG	.
PPCG0447b	PPCG0447	Primary	0.390	1.706	False	PPCG	.
PPCG0452b	PPCG0452	Primary	0.488	1.867	False	PPCG	.
PPCG0460b	PPCG0460	Primary	0.767	1.792	False	PPCG	.
PPCG0463b	PPCG0463	Primary	0.542	1.728	False	PPCG	.
PPCG0464b	PPCG0464	Primary	0.879	1.524	False	PPCG	.
PPCG0472a	PPCG0472	Primary	0.599	1.855	False	PPCG	.
PPCG0473a	PPCG0473	Primary	0.410	1.784	False	PPCG	SV
PPCG0475a	PPCG0475	Primary	0.601	1.797	False	PPCG	.
PPCG0476a	PPCG0476	Primary	0.320	1.800	False	PPCG	.
PPCG0477a	PPCG0477	Primary	0.846	1.673	False	PPCG	.
PPCG0486a	PPCG0486	Primary	0.593	1.701	False	PPCG	.
PPCG0487a	PPCG0487	Primary	0.562	1.577	False	PPCG	.
PPCG0491a	PPCG0491	Primary	0.705	3.379	True	PPCG	.
PPCG0494a	PPCG0494	Primary	0.305	2.019	False	PPCG	.
PPCG0497a	PPCG0497	Primary	0.930	1.870	False	PPCG	.
PPCG0498a	PPCG0498	Primary	0.359	1.690	False	PPCG	INDEL,SNV,SV
PPCG0499a	PPCG0499	Primary	0.369	1.708	False	PPCG	.
PPCG0506a	PPCG0506	Primary	0.780	1.468	False	PPCG	.
PPCG0510a	PPCG0510	Primary	0.318	1.742	False	PPCG	.
PPCG0511a	PPCG0511	Primary	0.709	1.042	False	PPCG	.
PPCG0512a	PPCG0512	Primary	0.904	1.375	False	PPCG	.
PPCG0513a	PPCG0513	Primary	0.636	1.965	False	PPCG	.
PPCG0514a	PPCG0514	Primary	0.345	2.146	False	PPCG	.
PPCG0515a	PPCG0515	Primary	0.446	1.680	False	PPCG	.
PPCG0516a	PPCG0516	Primary	0.374	1.844	False	PPCG	.
PPCG0517a	PPCG0517	Primary	0.425	1.842	False	PPCG	.
PPCG0518a	PPCG0518	Primary	0.320	1.789	False	PPCG	SV
PPCG0519a	PPCG0519	Primary	0.455	1.792	False	PPCG	.
PPCG0520a	PPCG0520	Primary	0.663	1.779	False	PPCG	.
PPCG0521a	PPCG0521	Primary	0.549	1.624	False	PPCG	.
PPCG0522a	PPCG0522	Primary	0.300	1.870	False	PPCG	.
PPCG0523a	PPCG0523	Primary	0.715	1.743	False	PPCG	.
PPCG0524a	PPCG0524	Primary	0.310	1.986	False	PPCG	.
PPCG0525a	PPCG0525	Primary	0.368	2.061	False	PPCG	SV
PPCG0526a	PPCG0526	Primary	0.545	1.641	False	PPCG	.
PPCG0527a	PPCG0527	Primary	0.498	3.114	True	PPCG	.
PPCG0528a	PPCG0528	Primary	0.450	1.656	False	PPCG	.
PPCG0529a	PPCG0529	Primary	0.314	1.786	False	PPCG	.
PPCG0529c	PPCG0529	Primary	0.710	4.807	True	PPCG	.
PPCG0530a	PPCG0530	Primary	0.452	1.658	False	PPCG	.
PPCG0531a	PPCG0531	Primary	0.247	2.000	False	PPCG	.
PPCG0532a	PPCG0532	Primary	0.722	3.299	True	PPCG	.
PPCG0533a	PPCG0533	Primary	0.697	1.496	False	PPCG	.
PPCG0534a	PPCG0534	Primary	0.290	1.727	False	PPCG	.
PPCG0535a	PPCG0535	Primary	0.300	1.853	False	PPCG	INDEL,SV
PPCG0536a	PPCG0536	Primary	0.541	1.687	False	PPCG	.
PPCG0537a	PPCG0537	Primary	0.504	1.725	False	PPCG	.
PPCG0538a	PPCG0538	Primary	0.450	3.690	True	PPCG	.
PPCG0539a	PPCG0539	Primary	0.650	1.952	False	PPCG	.
PPCG0540a	PPCG0540	Primary	0.536	1.510	False	PPCG	.
PPCG0541a	PPCG0541	Primary	0.275	1.564	False	PPCG	.
PPCG0542a	PPCG0542	Primary	0.270	1.791	False	PPCG	.
PPCG0543a	PPCG0543	Primary	0.286	3.493	True	PPCG	.
PPCG0544a	PPCG0544	Primary	0.699	1.641	False	PPCG	.
PPCG0545a	PPCG0545	Primary	0.746	1.921	False	PPCG	.
PPCG0546a	PPCG0546	Primary	0.258	1.644	False	PPCG	.
PPCG0548a	PPCG0548	Primary	0.503	2.039	False	PPCG	SV
PPCG0549a	PPCG0549	Primary	0.253	2.065	False	PPCG	.
PPCG0550a	PPCG0550	Primary	0.251	11.566	True	PPCG	.
PPCG0551a	PPCG0551	Primary	0.829	2.241	False	PPCG	.
PPCG0552a	PPCG0552	Primary	0.496	1.515	False	PPCG	.
PPCG0553a	PPCG0553	Primary	0.706	2.751	True	PPCG	.
PPCG0554a	PPCG0554	Primary	0.200	1.793	False	PPCG	.
PPCG0555a	PPCG0555	Primary	0.666	1.745	False	PPCG	.
PPCG0556a	PPCG0556	Primary	0.678	1.829	False	PPCG	.
PPCG0557a	PPCG0557	Primary	0.659	1.731	False	PPCG	.
PPCG0558a	PPCG0558	Primary	0.825	1.762	False	PPCG	.
PPCG0559a	PPCG0559	Primary	0.372	1.691	False	PPCG	.
PPCG0560a	PPCG0560	Primary	0.292	1.694	False	PPCG	.
PPCG0561a	PPCG0561	Primary	0.476	1.657	False	PPCG	.
PPCG0562a	PPCG0562	Primary	0.540	1.941	False	PPCG	.
PPCG0563a	PPCG0563	Primary	0.618	1.487	False	PPCG	.
PPCG0564a	PPCG0564	Primary	0.578	1.824	False	PPCG	.
PPCG0565a	PPCG0565	Primary	0.750	2.109	False	PPCG	.
PPCG0566a	PPCG0566	Primary	0.630	1.709	False	PPCG	.
PPCG0567a	PPCG0567	Primary	0.544	1.664	False	PPCG	.
PPCG0568a	PPCG0568	Primary	0.702	1.774	False	PPCG	.
PPCG0569a	PPCG0569	Primary	0.226	2.533	False	PPCG	.
PPCG0570a	PPCG0570	Primary	0.280	1.891	False	PPCG	.
PPCG0571a	PPCG0571	Primary	0.325	1.741	False	PPCG	.
PPCG0572a	PPCG0572	Primary	0.540	1.623	False	PPCG	.
PPCG0573a	PPCG0573	Primary	0.372	2.109	False	PPCG	.
PPCG0574a	PPCG0574	Primary	0.519	1.638	False	PPCG	.
PPCG0575a	PPCG0575	Primary	0.240	2.477	False	PPCG	.
PPCG0576a	PPCG0576	Primary	0.498	1.389	False	PPCG	.
PPCG0577a	PPCG0577	Primary	0.544	0.831	False	PPCG	.
PPCG0578a	PPCG0578	Primary	0.552	1.473	False	PPCG	.
PPCG0579a	PPCG0579	Primary	0.719	1.704	False	PPCG	.
PPCG0580a	PPCG0580	Primary	0.449	2.964	True	PPCG	.
PPCG0581a	PPCG0581	Primary	0.480	1.667	False	PPCG	.
PPCG0582a	PPCG0582	Primary	0.289	1.712	False	PPCG	.
PPCG0583a	PPCG0583	Primary	0.272	1.832	False	PPCG	.
PPCG0584a	PPCG0584	Primary	0.426	1.847	False	PPCG	.
PPCG0585a	PPCG0585	Primary	0.321	1.776	False	PPCG	.
PPCG0586a	PPCG0586	Primary	0.684	1.656	False	PPCG	.
PPCG0587a	PPCG0587	Primary	0.566	1.920	False	PPCG	.
PPCG0588a	PPCG0588	Primary	0.438	2.160	False	PPCG	.
PPCG0589a	PPCG0589	Primary	0.559	1.765	False	PPCG	.
PPCG0590a	PPCG0590	Primary	0.240	1.906	False	PPCG	.
PPCG0591a	PPCG0591	Primary	0.314	1.766	False	PPCG	.
PPCG0592a	PPCG0592	Primary	0.521	1.418	False	PPCG	.
PPCG0593a	PPCG0593	Primary	0.512	1.655	False	PPCG	.
PPCG0594a	PPCG0594	Primary	0.586	1.575	False	PPCG	.
PPCG0595a	PPCG0595	Primary	0.250	1.773	False	PPCG	.
PPCG0596a	PPCG0596	Primary	0.762	1.350	False	PPCG	.
PPCG0597a	PPCG0597	Primary	0.277	1.691	False	PPCG	.
PPCG0598a	PPCG0598	Primary	0.734	1.862	False	PPCG	.
PPCG0599a	PPCG0599	Primary	0.270	2.000	False	PPCG	.
PPCG0600a	PPCG0600	Primary	0.703	1.720	False	PPCG	.
PPCG0601a	PPCG0601	Primary	0.453	0.933	False	PPCG	.
PPCG0602a	PPCG0602	Primary	0.246	1.726	False	PPCG	.
PPCG0603a	PPCG0603	Primary	0.390	1.500	False	PPCG	.
PPCG0604a	PPCG0604	Primary	0.588	1.136	False	PPCG	.
PPCG0605a	PPCG0605	Primary	0.246	1.759	False	PPCG	.
PPCG0606a	PPCG0606	Primary	0.240	4.065	False	PPCG	.
PPCG0607a	PPCG0607	Primary	0.740	1.512	False	PPCG	.
PPCG0608a	PPCG0608	Primary	0.517	1.328	False	PPCG	.
PPCG0609a	PPCG0609	Primary	0.380	1.645	False	PPCG	.
PPCG0610a	PPCG0610	Primary	0.763	1.619	False	PPCG	.
PPCG0611a	PPCG0611	Primary	0.335	1.735	False	PPCG	.
PPCG0612a	PPCG0612	Primary	0.361	1.736	False	PPCG	.
PPCG0613a	PPCG0613	Primary	0.521	1.697	False	PPCG	.
PPCG0614a	PPCG0614	Primary	0.210	1.945	False	PPCG	SV
PPCG0615a	PPCG0615	Primary	0.411	1.179	False	PPCG	.
PPCG0616a	PPCG0616	Primary	0.550	1.885	False	PPCG	SV
PPCG0617a	PPCG0617	Primary	0.264	2.094	False	PPCG	.
PPCG0618a	PPCG0618	Primary	0.410	1.674	False	PPCG	.
PPCG0619a	PPCG0619	Primary	0.297	1.845	False	PPCG	.
PPCG0620a	PPCG0620	Primary	0.519	1.852	False	PPCG	.
PPCG0621a	PPCG0621	Primary	0.622	1.717	False	PPCG	.
PPCG0622a	PPCG0622	Primary	0.758	2.167	False	PPCG	.
PPCG0623a	PPCG0623	Primary	0.516	3.172	True	PPCG	.
PPCG0624a	PPCG0624	Primary	0.690	1.034	False	PPCG	.
PPCG0625a	PPCG0625	Primary	0.193	2.538	False	PPCG	.
PPCG0626a	PPCG0626	Primary	0.317	3.493	True	PPCG	.
PPCG0627a	PPCG0627	Primary	0.457	1.445	False	PPCG	.
PPCG0628a	PPCG0628	Primary	0.584	1.605	False	PPCG	.
PPCG0629a	PPCG0629	Primary	0.548	1.670	False	PPCG	.
PPCG0630a	PPCG0630	Primary	0.522	3.294	True	PPCG	.
PPCG0631a	PPCG0631	Primary	0.734	1.507	False	PPCG	.
