sample	donor	tissue	purity	ploidy	WGD	cohort	Missing_Files
PPCG0399c	PPCG0399	Metastasis	0.953	2.035	False	COMBI	.
PPCG0399d	PPCG0399	Metastasis	0.950	2.027	False	COMBI	.
PPCG0400a	PPCG0400	Metastasis	0.552	3.979	True	COMBI	.
PPCG0403a	PPCG0403	Metastasis	0.950	2.001	False	COMBI	SV
PPCG0404a	PPCG0404	Primary	0.774	1.823	False	COMBI	.
PPCG0404d	PPCG0404	Metastasis	0.235	3.299	True	COMBI	.
PPCG0405a	PPCG0405	Primary	0.300	1.967	False	COMBI	.
PPCG0405c	PPCG0405	Metastasis	0.412	1.995	False	COMBI	.
PPCG0405d	PPCG0405	Metastasis	0.798	1.987	False	COMBI	.
PPCG0415a	PPCG0415	Primary	0.228	2.330	False	COMBI	.
PPCG0415c	PPCG0415	Metastasis	0.739	2.237	False	COMBI	.
PPCG0421a	PPCG0421	Primary	0.448	1.944	False	COMBI	.
PPCG0421c	PPCG0421	Metastasis	0.617	1.931	False	COMBI	.
PPCG0422a	PPCG0422	Metastasis	0.249	3.393	True	COMBI	.
PPCG0423a	PPCG0423	Primary	0.785	1.956	False	COMBI	.
PPCG0423c	PPCG0423	Metastasis	0.747	1.915	False	COMBI	.
PPCG0424a	PPCG0424	Primary	0.340	2.000	False	COMBI	SV
PPCG0424c	PPCG0424	Recurrence	0.360	2.015	False	COMBI	SV
PPCG0425a	PPCG0425	Metastasis	0.320	2.000	False	COMBI	SV
PPCG0425c	PPCG0425	Metastasis	0.290	1.863	False	COMBI	.
PPCG0427a	PPCG0427	Primary	0.250	2.000	False	COMBI	INDEL,SV
PPCG0427c	PPCG0427	Metastasis	0.581	2.124	False	COMBI	.
PPCG0427d	PPCG0427	Metastasis	0.265	2.266	False	COMBI	.
PPCG0428a	PPCG0428	Primary	0.478	3.778	True	COMBI	.
PPCG0428c	PPCG0428	Metastasis	0.310	4.000	True	COMBI	INDEL,SV
PPCG0428d	PPCG0428	Metastasis	0.320	2.000	False	COMBI	INDEL,SV
PPCG0429a	PPCG0429	Metastasis	0.176	1.930	False	COMBI	.
PPCG0430a	PPCG0430	Metastasis	0.950	1.957	False	COMBI	INDEL,SV
PPCG0431a	PPCG0431	Primary	0.632	1.925	False	COMBI	.
PPCG0431c	PPCG0431	Metastasis	0.201	1.845	False	COMBI	.
PPCG0432a	PPCG0432	Primary	0.730	1.946	False	COMBI	.
PPCG0432c	PPCG0432	Metastasis	0.721	1.951	False	COMBI	.
PPCG0433a	PPCG0433	Metastasis	0.950	2.000	False	COMBI	INDEL,SV
