total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
23	10	4	13	51	4	60	3.82353	0.03478	0.92362	False	GOBP_METANEPHRIC_NEPHRON_MORPHOGENESIS
23	10	5	13	51	4	60	3.82353	0.03478	0.92362	False	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN
19	8	4	13	51	4	60	3.82353	0.03478	0.92362	False	GOBP_TRACHEA_DEVELOPMENT
35	12	17	14	50	26	38	0.40923	0.03526	0.92362	False	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING
46	16	16	26	38	14	50	2.44361	0.03526	0.92362	False	GOBP_ANTEROGRADE_AXONAL_TRANSPORT
34	14	10	21	43	10	54	2.63721	0.03807	0.94480	False	GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
45	16	10	17	47	7	57	2.94529	0.04003	0.94480	False	GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS
29	12	7	17	47	7	57	2.94529	0.04003	0.94480	False	GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC
29	19	17	30	34	18	46	2.25490	0.04408	0.94480	False	GOBP_NEGATIVE_REGULATION_OF_CAMP_PKA_SIGNAL_TRANSDUCTION
9	7	2	11	53	3	61	4.22013	0.04427	0.94480	False	GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC
24	9	3	11	53	3	61	4.22013	0.04427	0.94480	False	GOBP_ETHER_LIPID_METABOLIC_PROCESS
16	9	2	11	53	3	61	4.22013	0.04427	0.94480	False	GOBP_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT
9	6	3	14	50	5	59	3.30400	0.04460	0.94480	False	GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION
29	12	5	14	50	5	59	3.30400	0.04460	0.94480	False	GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS
