geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
GOBP_TRACHEA_DEVELOPMENT	13	4	1.40563	4.07808	0.02415	0.59311	False
GOBP_RENAL_VESICLE_FORMATION	10	2	1.88443	6.58259	0.02451	0.59311	False
GOBP_NEGATIVE_REGULATION_OF_CAMP_PKA_SIGNAL_TRANSDUCTION	30	18	0.90521	2.47245	0.02461	0.59311	False
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	13	4	1.38154	3.98103	0.02470	0.59311	False
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	21	10	0.98173	2.66906	0.02590	0.59311	False
GOBP_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING	19	9	1.13376	3.10732	0.02598	0.59311	False
GOBP_METANEPHRIC_MESENCHYME_DEVELOPMENT	10	2	1.80386	6.07303	0.02665	0.59311	False
GOBP_OBSERVATIONAL_LEARNING	19	9	1.11774	3.05794	0.02677	0.59311	False
GOBP_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	32	20	0.87029	2.38760	0.02702	0.59311	False
GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS	17	7	1.09077	2.97657	0.02766	0.59311	False
GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	14	5	1.27064	3.56315	0.02856	0.59311	False
GOBP_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	11	3	1.58729	4.89048	0.02858	0.59311	False
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	18	8	1.08217	2.95107	0.02866	0.59311	False
GOBP_RESPONSE_TO_IRON_ION	12	4	1.47377	4.36565	0.03104	0.59311	False
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	14	5	1.21254	3.36201	0.03112	0.59311	False
GOBP_ETHER_LIPID_METABOLIC_PROCESS	11	3	1.51094	4.53099	0.03134	0.59311	False
GOBP_GMP_METABOLIC_PROCESS	19	9	1.04386	2.84015	0.03150	0.59311	False
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION	12	22	-0.95796	0.38367	0.03163	0.59311	False
GOBP_DIGESTIVE_TRACT_MORPHOGENESIS	19	9	1.02664	2.79166	0.03204	0.59311	False
GOBP_REGULATION_OF_GLOMERULAR_FILTRATION	12	4	1.43917	4.21721	0.03227	0.59311	False
GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS	20	10	1.01754	2.76637	0.03295	0.59311	False
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC	11	3	1.46849	4.34266	0.03304	0.59311	False
GOBP_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	15	25	-0.92392	0.39696	0.03338	0.59311	False
GOBP_SKELETAL_MUSCLE_TISSUE_REGENERATION	11	20	-1.03198	0.35630	0.03449	0.59311	False
GOBP_METANEPHROS_MORPHOGENESIS	15	6	1.14213	3.13344	0.03478	0.59311	False
GOBP_ASTROCYTE_DEVELOPMENT	11	21	-0.93000	0.39455	0.03492	0.59311	False
GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	21	11	0.97650	2.65514	0.03591	0.59311	False
GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	21	11	0.96043	2.61283	0.03707	0.59311	False
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	13	5	1.30982	3.70549	0.03761	0.59311	False
GOBP_BRANCH_ELONGATION_OF_AN_EPITHELIUM	16	7	1.09452	2.98774	0.03779	0.59311	False
GOBP_CARDIAC_ATRIUM_MORPHOGENESIS	17	8	1.10221	3.01080	0.03786	0.59311	False
GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION	26	15	0.82589	2.28391	0.03838	0.59311	False
GOBP_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	12	4	1.29438	3.64873	0.03924	0.59311	False
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS	16	7	1.07094	2.91813	0.03932	0.59311	False
GOBP_EMBRYONIC_AXIS_SPECIFICATION	20	10	0.91524	2.49738	0.03980	0.59311	False
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	28	17	0.80628	2.23956	0.04091	0.59311	False
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	13	5	1.24189	3.46215	0.04098	0.59311	False
GOBP_REGULATION_OF_PROTEIN_COMPLEX_STABILITY	12	4	1.24013	3.45605	0.04154	0.59311	False
GOBP_BICARBONATE_TRANSPORT	12	22	-0.86112	0.42269	0.04158	0.59311	False
GOBP_MUCUS_SECRETION	10	3	1.53945	4.66202	0.04175	0.59311	False
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	23	13	0.90131	2.46283	0.04231	0.59311	False
GOBP_REFLEX	16	7	1.01658	2.76372	0.04293	0.59311	False
GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION	17	8	1.02085	2.77554	0.04341	0.59311	False
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	18	9	1.02163	2.77772	0.04362	0.59311	False
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	16	7	0.99848	2.71415	0.04381	0.59311	False
GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	22	12	0.85850	2.35961	0.04586	0.59854	False
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	17	8	0.98369	2.67429	0.04628	0.59854	False
GOBP_RELAXATION_OF_CARDIAC_MUSCLE	22	12	0.84199	2.32098	0.04726	0.59854	False
GOBP_RESPONSE_TO_ELECTRICAL_STIMULUS	35	24	0.75390	2.12527	0.04754	0.59854	False
GOBP_RENAL_VESICLE_DEVELOPMENT	10	3	1.42254	4.14765	0.04797	0.59854	False
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	18	9	0.96523	2.62540	0.04803	0.59854	False
GOBP_POTASSIUM_ION_HOMEOSTASIS	12	21	-0.88986	0.41071	0.04813	0.59854	False
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	8	0.95186	2.59053	0.04847	0.59854	False
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION	24	14	0.84003	2.31645	0.04868	0.59854	False
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION	13	5	1.10405	3.01637	0.04990	0.60279	False
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	10	3	1.37442	3.95279	0.05084	0.60279	False
GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM	18	9	0.93518	2.54767	0.05099	0.60279	False
GOBP_RRNA_CATABOLIC_PROCESS	10	3	1.35091	3.86095	0.05203	0.60279	False
GOBP_PHAGOCYTOSIS_RECOGNITION	14	6	1.08591	2.96213	0.05213	0.60279	False
GOBP_REGULATION_OF_ACTIN_NUCLEATION	20	11	0.92522	2.52243	0.05259	0.60279	False
GOBP_RIGHTING_REFLEX	10	3	1.34142	3.82445	0.05261	0.60279	False
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	10	3	1.33433	3.79745	0.05303	0.60279	False
GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	25	15	0.79262	2.20917	0.05422	0.61058	False
GOBP_REGULATION_OF_KIDNEY_DEVELOPMENT	14	6	1.03149	2.80525	0.05618	0.61918	False
GOBP_DEVELOPMENTAL_INDUCTION	20	11	0.87646	2.40239	0.05798	0.61918	False
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	20	11	0.86605	2.37749	0.05916	0.61918	False
GOBP_REGULATION_OF_DEPHOSPHORYLATION	11	4	1.21442	3.36832	0.05961	0.61918	False
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	15	7	1.00168	2.72286	0.05981	0.61918	False
GOBP_MYOTUBE_CELL_DEVELOPMENT	13	22	-0.79769	0.45037	0.06068	0.61918	False
GOBP_REGULATION_OF_GONAD_DEVELOPMENT	11	4	1.19490	3.30322	0.06086	0.61918	False
GOBP_T_CELL_CYTOKINE_PRODUCTION	15	7	0.97689	2.65617	0.06183	0.61918	False
GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	14	23	-0.78053	0.45816	0.06302	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	12	5	1.16209	3.19661	0.06404	0.61918	False
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	11	4	1.15328	3.16856	0.06419	0.61918	False
GOBP_ATRIAL_SEPTUM_MORPHOGENESIS	11	4	1.14764	3.15075	0.06433	0.61918	False
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	16	8	0.96564	2.62648	0.06434	0.61918	False
GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING	11	4	1.14347	3.13762	0.06476	0.61918	False
GOBP_MIDBODY_ABSCISSION	11	4	1.13926	3.12445	0.06492	0.61918	False
GOBP_DOPAMINE_METABOLIC_PROCESS	23	14	0.82590	2.28393	0.06533	0.61918	False
GOBP_POSTSYNAPTIC_MEMBRANE_ASSEMBLY	16	8	0.95280	2.59295	0.06545	0.61918	False
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	12	5	1.12290	3.07374	0.06697	0.61918	False
GOBP_MAINTENANCE_OF_LENS_TRANSPARENCY	12	5	1.12365	3.07605	0.06748	0.61918	False
GOBP_HINDBRAIN_MORPHOGENESIS	32	22	0.70246	2.01871	0.06850	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	21	12	0.78890	2.20098	0.06892	0.61918	False
GOBP_RESPONSE_TO_PROGESTERONE	17	9	0.92203	2.51439	0.06940	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	16	8	0.90980	2.48383	0.06966	0.61918	False
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING	22	13	0.78051	2.18258	0.07094	0.61918	False
GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	21	30	-0.71719	0.48812	0.07095	0.61918	False
GOBP_CELLULAR_RESPONSE_TO_ALKALOID	22	13	0.77978	2.18099	0.07100	0.61918	False
GOBP_SYNAPSE_MATURATION	36	26	0.68630	1.98635	0.07147	0.61918	False
GOBP_REGULATION_OF_CAMP_PKA_SIGNAL_TRANSDUCTION	34	24	0.68570	1.98515	0.07147	0.61918	False
GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	12	5	1.06285	2.89460	0.07235	0.61918	False
GOBP_CELLULAR_RESPONSE_TO_GAMMA_RADIATION	22	13	0.76889	2.15738	0.07248	0.61918	False
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	17	9	0.88988	2.43483	0.07326	0.61918	False
GOBP_REGULATION_OF_MYELINATION	24	15	0.76618	2.15153	0.07411	0.61918	False
GOBP_CORTICAL_MICROTUBULE_ORGANIZATION	12	5	1.04513	2.84377	0.07443	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	16	8	0.85711	2.35635	0.07551	0.61918	False
GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	10	17	-0.91485	0.40058	0.07580	0.61918	False
GOBP_MESODERMAL_CELL_DIFFERENTIATION	22	13	0.74362	2.10354	0.07589	0.61918	False
GOBP_EXCRETION	11	19	-0.79975	0.44944	0.07669	0.61918	False
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	12	5	1.01406	2.75676	0.07677	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION	17	9	0.85934	2.36160	0.07716	0.61918	False
GOBP_RESPONSE_TO_AUDITORY_STIMULUS	27	18	0.74193	2.09999	0.07893	0.61918	False
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	26	17	0.72518	2.06510	0.08150	0.61918	False
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	23	14	0.70452	2.02288	0.08237	0.61918	False
GOBP_REGULATION_OF_ANOIKIS	18	10	0.82216	2.27540	0.08311	0.61918	False
GOBP_RESPONSE_TO_DIETARY_EXCESS	18	10	0.81508	2.25936	0.08394	0.61918	False
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	17	9	0.79878	2.22283	0.08418	0.61918	False
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	13	21	-0.74999	0.47237	0.08467	0.61918	False
GOBP_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	18	10	0.80756	2.24243	0.08529	0.61918	False
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS	13	6	0.94041	2.56104	0.08618	0.61918	False
GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING	18	10	0.79639	2.21752	0.08646	0.61918	False
GOBP_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	10	17	-0.84657	0.42888	0.08710	0.61918	False
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	12	20	-0.74362	0.47539	0.08712	0.61918	False
GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT	24	15	0.67999	1.97387	0.08719	0.61918	False
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION_VIA_N_ACETYL_GALACTOSAMINE	14	22	-0.72949	0.48216	0.08789	0.61918	False
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	10	4	1.15372	3.16996	0.08793	0.61918	False
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	26	17	0.68635	1.98644	0.08827	0.61918	False
GOBP_NEURON_PROJECTION_ARBORIZATION	27	18	0.68585	1.98546	0.08890	0.61918	False
GOBP_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS	13	6	0.90962	2.48338	0.08951	0.61918	False
GOBP_RESPONSE_TO_HYPEROXIA	13	6	0.89958	2.45858	0.08976	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_GTPASE_ACTIVITY	10	4	1.13198	3.10178	0.09036	0.61918	False
GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_IMPORT	11	18	-0.82070	0.44013	0.09055	0.61918	False
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	19	11	0.77655	2.17397	0.09070	0.61918	False
