geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	12	6	0.94428	2.57095	0.11582	0.61918	False
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP	11	5	0.92689	2.52664	0.11588	0.61918	False
GOBP_MYD88_INDEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	11	5	0.89870	2.45642	0.11602	0.61918	False
GOBP_REGULATION_OF_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	11	5	0.89432	2.44566	0.11774	0.61918	False
GOBP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	26	18	0.66153	1.93776	0.11782	0.61918	False
GOBP_RESPONSE_TO_X_RAY	10	17	-0.71250	0.49042	0.11785	0.61918	False
GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT	11	5	0.90874	2.48120	0.11790	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	12	6	0.93000	2.53450	0.11790	0.61918	False
GOBP_RESPONSE_TO_TESTOSTERONE	22	14	0.64485	1.90570	0.11791	0.61918	False
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION	11	5	0.90842	2.48041	0.11803	0.61918	False
GOBP_REGULATION_OF_ER_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	11	5	0.90647	2.47556	0.11818	0.61918	False
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	11	5	0.89738	2.45317	0.11906	0.62106	False
GOBP_MOTOR_BEHAVIOR	17	10	0.75466	2.12689	0.12078	0.62732	False
GOBP_EPITHELIAL_CELL_MORPHOGENESIS	24	16	0.62782	1.87353	0.12421	0.64237	False
GOBP_GAP_JUNCTION_ASSEMBLY	17	10	0.73047	2.07606	0.12497	0.64354	False
GOBP_G0_TO_G1_TRANSITION	17	10	0.72658	2.06800	0.12587	0.64542	False
GOBP_REGULATION_OF_ENDOCYTIC_RECYCLING	12	6	0.85350	2.34786	0.12908	0.65910	False
GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	17	10	0.70410	2.02203	0.13030	0.66068	False
GOBP_AMYLOID_FIBRIL_FORMATION	17	10	0.69985	2.01345	0.13095	0.66068	False
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	17	10	0.69899	2.01171	0.13105	0.66068	False
GOBP_NEGATIVE_REGULATION_OF_BINDING	13	20	-0.64865	0.52275	0.13169	0.66068	False
GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	18	11	0.70165	2.01707	0.13261	0.66068	False
GOBP_DENDRITIC_TRANSPORT	12	6	0.83123	2.29615	0.13268	0.66068	False
GOBP_CAMP_CATABOLIC_PROCESS	18	11	0.69704	2.00779	0.13373	0.66316	False
GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE	12	6	0.81173	2.25180	0.13540	0.66722	False
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	12	6	0.81001	2.24792	0.13572	0.66722	False
GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	13	7	0.82901	2.29104	0.13621	0.66722	False
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	13	7	0.82442	2.28055	0.13679	0.66735	False
GOBP_POSITIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	13	7	0.81664	2.26288	0.13807	0.67088	False
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	13	7	0.80965	2.24713	0.13918	0.67124	False
GOBP_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING	11	17	-0.71875	0.48736	0.13926	0.67124	False
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	10	16	-0.72381	0.48490	0.14037	0.67387	False
GOBP_TRANS_SYNAPTIC_SIGNALING_MODULATING_SYNAPTIC_TRANSMISSION	20	13	0.67265	1.95942	0.14173	0.67699	False
GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY	20	13	0.67034	1.95491	0.14214	0.67699	False
GOBP_DENDRITE_ARBORIZATION	13	7	0.77458	2.16968	0.14580	0.69011	False
GOBP_REGULATION_OF_FATTY_ACID_TRANSPORT	13	7	0.77060	2.16107	0.14631	0.69011	False
GOBP_NMDA_GLUTAMATE_RECEPTOR_CLUSTERING	13	7	0.76985	2.15943	0.14661	0.69011	False
GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION	13	7	0.76060	2.13956	0.14814	0.69227	False
GOBP_NEGATIVE_CHEMOTAXIS	27	34	-0.57049	0.56525	0.14872	0.69227	False
GOBP_REGULATION_OF_SPINDLE_ASSEMBLY	13	7	0.75671	2.13124	0.14879	0.69227	False
GOBP_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY	13	7	0.75175	2.12070	0.14966	0.69361	False
GOBP_PHOSPHATIDYLINOSITOL_MEDIATED_SIGNALING	19	12	0.62655	1.87114	0.15081	0.69390	False
GOBP_PROTEIN_DEMANNOSYLATION	13	7	0.73547	2.08647	0.15211	0.69390	False
GOBP_PROTEIN_DEGLYCOSYLATION	13	7	0.73547	2.08647	0.15211	0.69390	False
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	13	7	0.72944	2.07392	0.15247	0.69390	False
GOBP_TORC2_SIGNALING	15	9	0.76222	2.14302	0.15278	0.69390	False
GOBP_NADPLUS_METABOLIC_PROCESS	20	13	0.62320	1.86490	0.15369	0.69390	False
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	37	29	0.53024	1.69933	0.15549	0.69390	False
GOBP_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING	12	18	-0.64826	0.52296	0.15937	0.69390	False
GOBP_PHAGOSOME_MATURATION	14	8	0.71779	2.04990	0.15988	0.69390	False
GOBP_EPIDERMIS_MORPHOGENESIS	14	8	0.71362	2.04137	0.16063	0.69390	False
GOBP_SPLEEN_DEVELOPMENT	20	13	0.59094	1.80568	0.16112	0.69390	False
GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH	22	15	0.60405	1.82951	0.16150	0.69390	False
GOBP_ENDOTHELIAL_CELL_ACTIVATION	14	8	0.70931	2.03259	0.16178	0.69390	False
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	10	5	0.88867	2.43189	0.16268	0.69390	False
GOBP_RESPONSE_TO_PH	10	16	-0.64961	0.52225	0.16330	0.69390	False
GOBP_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	14	8	0.69899	2.01173	0.16395	0.69390	False
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION	21	14	0.58645	1.79760	0.16465	0.69390	False
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	10	5	0.87352	2.39532	0.16534	0.69390	False
GOBP_POSTSYNAPTIC_DENSITY_PROTEIN_95_CLUSTERING	15	9	0.70495	2.02375	0.16557	0.69390	False
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS	11	17	-0.63573	0.52955	0.16594	0.69390	False
GOBP_NON_PROTEINOGENIC_AMINO_ACID_BIOSYNTHETIC_PROCESS	14	8	0.68353	1.98085	0.16643	0.69390	False
GOBP_NUCLEOSIDE_METABOLIC_PROCESS	16	22	-0.61106	0.54277	0.16681	0.69390	False
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	15	9	0.69253	1.99876	0.16834	0.69390	False
GOBP_PHOTORECEPTOR_CELL_OUTER_SEGMENT_ORGANIZATION	10	5	0.85258	2.34570	0.16884	0.69390	False
GOBP_SYNAPTIC_VESICLE_TRANSPORT	24	17	0.58161	1.78891	0.16991	0.69390	False
GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION	10	5	0.84551	2.32916	0.17021	0.69390	False
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	13	19	-0.61247	0.54201	0.17050	0.69390	False
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION	15	9	0.68180	1.97743	0.17055	0.69390	False
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	11	17	-0.62267	0.53651	0.17079	0.69390	False
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	15	9	0.67648	1.96695	0.17180	0.69390	False
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	10	5	0.83808	2.31192	0.17191	0.69390	False
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_MIGRATION	10	5	0.83188	2.29763	0.17213	0.69390	False
GOBP_RETROGRADE_TRANS_SYNAPTIC_SIGNALING	10	5	0.83313	2.30050	0.17269	0.69390	False
GOBP_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	15	9	0.66877	1.95184	0.17375	0.69390	False
GOBP_POSITIVE_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	12	18	-0.60883	0.54399	0.17394	0.69390	False
GOBP_CORONARY_VASCULATURE_DEVELOPMENT	24	17	0.56536	1.76009	0.17481	0.69390	False
GOBP_RESPONSE_TO_ANTIBIOTIC	26	19	0.56881	1.76617	0.17541	0.69390	False
GOBP_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION	19	25	-0.57918	0.56036	0.17600	0.69390	False
GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT	10	5	0.81010	2.24814	0.17641	0.69390	False
GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	15	9	0.65462	1.92441	0.17692	0.69390	False
GOBP_C4_DICARBOXYLATE_TRANSPORT	15	9	0.65221	1.91978	0.17743	0.69390	False
GOBP_SLEEP	15	9	0.65165	1.91871	0.17744	0.69390	False
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	15	9	0.65083	1.91714	0.17767	0.69390	False
GOBP_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	15	9	0.65008	1.91569	0.17780	0.69390	False
GOBP_BLASTODERM_SEGMENTATION	10	5	0.80114	2.22809	0.17811	0.69390	False
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION	11	6	0.82178	2.27455	0.17866	0.69390	False
GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	15	9	0.64404	1.90417	0.17896	0.69390	False
GOBP_DETECTION_OF_TEMPERATURE_STIMULUS	15	9	0.64015	1.89676	0.17983	0.69390	False
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_MIGRATION	10	5	0.78681	2.19638	0.18002	0.69390	False
GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	17	23	-0.57802	0.56101	0.18026	0.69390	False
GOBP_SUBSTRATE_DEPENDENT_CELL_MIGRATION	11	17	-0.59717	0.55037	0.18095	0.69390	False
GOBP_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	11	6	0.80937	2.24650	0.18098	0.69390	False
GOBP_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	10	16	-0.60357	0.54686	0.18209	0.69390	False
GOBP_NEGATIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	14	20	-0.57832	0.56084	0.18240	0.69390	False
GOBP_SYNAPTIC_SIGNALING_VIA_NEUROPEPTIDE	16	10	0.64322	1.90259	0.18261	0.69390	False
GOBP_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	16	22	-0.57021	0.56541	0.18299	0.69390	False
GOBP_STRESS_GRANULE_ASSEMBLY	11	17	-0.59106	0.55374	0.18363	0.69390	False
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	27	20	0.54201	1.71947	0.18463	0.69390	False
GOBP_MEMBRANE_HYPERPOLARIZATION	16	10	0.63433	1.88576	0.18481	0.69390	False
GOBP_REGULATION_OF_HYDROGEN_PEROXIDE_MEDIATED_PROGRAMMED_CELL_DEATH	16	10	0.63432	1.88574	0.18516	0.69390	False
GOBP_REGULATION_OF_FATTY_ACID_OXIDATION	10	15	-0.67919	0.50703	0.18608	0.69390	False
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	11	6	0.78120	2.18409	0.18674	0.69390	False
GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	14	20	-0.56566	0.56798	0.18791	0.69390	False
GOBP_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	19	13	0.64078	1.89796	0.18865	0.69390	False
GOBP_MONOCYTE_DIFFERENTIATION	24	17	0.51529	1.67413	0.18901	0.69390	False
GOBP_SPHINGOID_METABOLIC_PROCESS	12	7	0.78676	2.19628	0.18963	0.69390	False
GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY	13	19	-0.56494	0.56839	0.18997	0.69390	False
GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION	16	10	0.61282	1.84563	0.19023	0.69390	False
GOBP_POSITIVE_REGULATION_OF_HEART_GROWTH	25	18	0.51694	1.67688	0.19052	0.69390	False
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	16	10	0.60945	1.83942	0.19071	0.69390	False
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	16	10	0.60818	1.83709	0.19125	0.69390	False
GOBP_REGULATION_OF_MACROPHAGE_MIGRATION	18	12	0.62619	1.87047	0.19152	0.69390	False
GOBP_SECRETORY_GRANULE_LOCALIZATION	14	20	-0.55596	0.57352	0.19200	0.69390	False
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	11	6	0.75336	2.12412	0.19233	0.69390	False
GOBP_MITOTIC_RECOMBINATION	10	15	-0.65665	0.51858	0.19389	0.69645	False
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION	28	21	0.51524	1.67405	0.19420	0.69645	False
GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	11	6	0.73761	2.09094	0.19556	0.69803	False
GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	11	6	0.73363	2.08262	0.19694	0.69803	False
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	11	6	0.72741	2.06972	0.19778	0.69803	False
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CENTROSOME	11	6	0.72108	2.05664	0.19895	0.69803	False
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	10	15	-0.64232	0.52607	0.19919	0.69803	False
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	18	12	0.59839	1.81918	0.19923	0.69803	False
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	18	12	0.59723	1.81708	0.19960	0.69803	False
GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	17	11	0.58838	1.80107	0.19986	0.69803	False
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	11	6	0.70961	2.03321	0.20085	0.69803	False
GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT	10	15	-0.63617	0.52931	0.20121	0.69803	False
GOBP_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT	11	6	0.70732	2.02855	0.20148	0.69803	False
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS	11	16	-0.62978	0.53271	0.20159	0.69803	False
GOBP_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION	11	6	0.69754	2.00880	0.20268	0.69981	False
GOBP_DETERMINATION_OF_ADULT_LIFESPAN	29	22	0.48840	1.62971	0.20394	0.70122	False
GOBP_POSITIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	12	7	0.71895	2.05228	0.20426	0.70122	False
GOBP_PROTEIN_N_LINKED_GLYCOSYLATION_VIA_ASPARAGINE	12	7	0.69807	2.00987	0.20860	0.71410	False
GOBP_AMINE_BIOSYNTHETIC_PROCESS	18	12	0.56234	1.75478	0.20984	0.71516	False
GOBP_CELL_DIFFERENTIATION_IN_HINDBRAIN	19	13	0.56049	1.75154	0.21268	0.71516	False
GOBP_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS	18	12	0.54935	1.73213	0.21335	0.71516	False
GOBP_CELL_MIGRATION_IN_HINDBRAIN	18	12	0.54831	1.73033	0.21358	0.71516	False
GOBP_PRESYNAPTIC_MEMBRANE_ASSEMBLY	35	28	0.46743	1.59589	0.21365	0.71516	False
GOBP_PRESYNAPTIC_MEMBRANE_ORGANIZATION	35	28	0.46743	1.59589	0.21365	0.71516	False
GOBP_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	12	7	0.67854	1.97100	0.21366	0.71516	False
GOBP_AMPA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	12	7	0.67854	1.97100	0.21366	0.71516	False
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS	18	12	0.54158	1.71872	0.21529	0.71620	False
GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS	18	12	0.54162	1.71879	0.21533	0.71620	False
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING	12	7	0.66233	1.93931	0.21744	0.71620	False
GOBP_G_PROTEIN_COUPLED_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	18	12	0.52767	1.69498	0.21759	0.71620	False
GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	11	16	-0.58949	0.55461	0.21799	0.71620	False
GOBP_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	12	7	0.65717	1.92933	0.21861	0.71620	False
GOBP_RESPONSE_TO_MAGNESIUM_ION	12	7	0.65446	1.92410	0.21908	0.71620	False
GOBP_EMBRYONIC_HEMOPOIESIS	12	7	0.65206	1.91950	0.21971	0.71620	False
GOBP_PHYSIOLOGICAL_CARDIAC_MUSCLE_HYPERTROPHY	16	22	-0.49258	0.61105	0.22023	0.71620	False
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	11	16	-0.58274	0.55837	0.22074	0.71620	False
GOBP_POSITIVE_REGULATION_OF_VASOCONSTRICTION	13	8	0.66571	1.94587	0.22078	0.71620	False
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	12	7	0.62809	1.87403	0.22110	0.71620	False
GOBP_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	19	13	0.52747	1.69465	0.22273	0.71699	False
GOBP_FERROPTOSIS	12	7	0.63082	1.87915	0.22312	0.71699	False
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	12	7	0.63068	1.87889	0.22313	0.71699	False
GOBP_RETROGRADE_AXONAL_TRANSPORT	22	16	0.53824	1.71298	0.22488	0.72070	False
GOBP_ANIMAL_ORGAN_MATURATION	10	15	-0.57642	0.56191	0.22639	0.72126	False
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	19	25	-0.47305	0.62310	0.22708	0.72126	False
GOBP_HOST_MEDIATED_ACTIVATION_OF_VIRAL_PROCESS	21	15	0.52785	1.69528	0.22714	0.72126	False
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	13	8	0.64085	1.89810	0.22745	0.72126	False
GOBP_BEHAVIORAL_RESPONSE_TO_COCAINE	13	8	0.63830	1.89326	0.22830	0.72204	False
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS	10	15	-0.56635	0.56759	0.23098	0.72535	False
GOBP_NOREPINEPHRINE_METABOLIC_PROCESS	13	8	0.62849	1.87478	0.23107	0.72535	False
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	14	19	-0.54430	0.58025	0.23156	0.72535	False
GOBP_BLASTOCYST_FORMATION	18	24	-0.46702	0.62687	0.23175	0.72535	False
GOBP_RESPONSE_TO_MANGANESE_ION	13	8	0.61353	1.84695	0.23473	0.73115	False
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	22	16	0.51032	1.66582	0.23482	0.73115	False
GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	13	8	0.60291	1.82743	0.23700	0.73605	False
GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS	13	8	0.59648	1.81571	0.23898	0.73784	False
GOBP_T_CELL_LINEAGE_COMMITMENT	13	18	-0.53259	0.58708	0.23908	0.73784	False
GOBP_INCLUSION_BODY_ASSEMBLY	11	16	-0.54038	0.58253	0.24018	0.73784	False
GOBP_PARAXIAL_MESODERM_DEVELOPMENT	13	8	0.58960	1.80327	0.24027	0.73784	False
GOBP_REGULATION_OF_PROTEIN_SUMOYLATION	13	8	0.57594	1.77880	0.24064	0.73784	False
GOBP_MAGNESIUM_ION_TRANSPORT	10	15	-0.54096	0.58219	0.24340	0.74378	False
GOBP_AORTA_MORPHOGENESIS	22	16	0.48038	1.61669	0.24528	0.74378	False
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	22	16	0.47853	1.61370	0.24582	0.74378	False
GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	23	17	0.48283	1.62066	0.24626	0.74378	False
GOBP_REGULATION_OF_SYNAPSE_MATURATION	23	17	0.48117	1.61796	0.24681	0.74378	False
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	23	17	0.48041	1.61674	0.24713	0.74378	False
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION	22	16	0.47286	1.60458	0.24766	0.74378	False
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	14	9	0.57615	1.77917	0.24926	0.74378	False
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	23	17	0.47437	1.60700	0.24937	0.74378	False
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	13	18	-0.51286	0.59878	0.24937	0.74378	False
GOBP_ACROSOME_ASSEMBLY	14	9	0.57571	1.77839	0.24969	0.74378	False
GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	14	9	0.57423	1.77577	0.25003	0.74378	False
GOBP_POSITIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	24	18	0.47251	1.60401	0.25157	0.74378	False
GOBP_REGULATION_OF_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	10	15	-0.52571	0.59113	0.25194	0.74378	False
GOBP_REGULATION_OF_SENSORY_PERCEPTION	14	9	0.56598	1.76117	0.25225	0.74378	False
GOBP_PULMONARY_VALVE_MORPHOGENESIS	11	16	-0.51595	0.59693	0.25303	0.74378	False
GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	15	10	0.57329	1.77409	0.25390	0.74378	False
GOBP_REGULATION_OF_P38MAPK_CASCADE	14	9	0.55910	1.74909	0.25430	0.74378	False
GOBP_LONG_TERM_MEMORY	14	19	-0.49892	0.60718	0.25431	0.74378	False
GOBP_BONE_GROWTH	24	18	0.46118	1.58595	0.25575	0.74620	False
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	13	18	-0.49730	0.60817	0.25762	0.74985	False
GOBP_GOLGI_TO_VACUOLE_TRANSPORT	14	9	0.53562	1.70851	0.25830	0.75002	False
GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	15	10	0.55828	1.74767	0.25896	0.75012	False
GOBP_NUCLEOBASE_METABOLIC_PROCESS	13	18	-0.49020	0.61250	0.26151	0.75569	False
GOBP_MICROVILLUS_ORGANIZATION	11	16	-0.49710	0.60829	0.26406	0.75958	False
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	25	19	0.44293	1.55726	0.26412	0.75958	False
GOBP_POSTSYNAPTIC_DENSITY_ORGANIZATION	43	37	0.44218	1.55610	0.26667	0.76054	False
GOBP_REGULATION_OF_CYTOPLASMIC_TRANSLATION	12	17	-0.48553	0.61537	0.26706	0.76054	False
GOBP_RESPONSE_TO_MUSCLE_STRETCH	17	22	-0.46593	0.62755	0.26776	0.76054	False
GOBP_PROSTATE_GLAND_MORPHOGENESIS	25	19	0.43233	1.54085	0.26784	0.76054	False
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	15	10	0.52241	1.68609	0.26955	0.76054	False
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	15	10	0.52174	1.68496	0.26979	0.76054	False
GOBP_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	15	10	0.51351	1.67114	0.27183	0.76054	False
GOBP_REGULATION_OF_DNA_BINDING	15	10	0.50998	1.66525	0.27261	0.76054	False
GOBP_RESPONSE_TO_ISOQUINOLINE_ALKALOID	15	10	0.50512	1.65718	0.27338	0.76054	False
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	16	21	-0.45873	0.63208	0.27356	0.76054	False
GOBP_REGULATION_OF_MACROPHAGE_CHEMOTAXIS	16	11	0.51886	1.68010	0.27491	0.76054	False
GOBP_T_CELL_CHEMOTAXIS	10	14	-0.56159	0.57030	0.27611	0.76054	False
GOBP_OLIGODENDROCYTE_DEVELOPMENT	30	24	0.42591	1.53099	0.27620	0.76054	False
GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS	29	23	0.42365	1.52753	0.27642	0.76054	False
GOBP_RETINAL_ROD_CELL_DEVELOPMENT	10	6	0.64702	1.90984	0.28118	0.76054	False
GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	12	17	-0.46349	0.62908	0.28142	0.76054	False
GOBP_VENTRICULAR_TRABECULA_MYOCARDIUM_MORPHOGENESIS	16	11	0.49818	1.64572	0.28170	0.76054	False
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION	18	13	0.51493	1.67352	0.28173	0.76054	False
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	13	18	-0.45695	0.63321	0.28178	0.76054	False
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	22	27	-0.43135	0.64963	0.28322	0.76054	False
GOBP_PHOSPHATIDYLINOSITOL_3_PHOSPHATE_BIOSYNTHETIC_PROCESS	16	21	-0.44234	0.64253	0.28363	0.76054	False
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY	33	27	0.41117	1.50859	0.28396	0.76054	False
