observed	background	n_replicates	p_value	q_value	significant	geneset
10	7.27500	1000	0.19780	0.48696	False	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY
15	11.97700	1000	0.20180	0.48696	False	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION
10	7.57100	1000	0.20380	0.48696	False	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO
17	13.89800	1000	0.20480	0.48696	False	KEGG_MEDICUS_REFERENCE_MGLUR1_TRPC3_SIGNALING_PATHWAY
13	10.22900	1000	0.21479	0.49580	False	KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY
10	7.62500	1000	0.21778	0.49580	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION
17	14.08700	1000	0.22278	0.49661	False	KEGG_MEDICUS_REFERENCE_NRG_ERBB4_PI3K_SIGNALING_PATHWAY
10	7.60300	1000	0.23177	0.50611	False	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR
18	15.29500	1000	0.24076	0.51522	False	KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY
10	7.75600	1000	0.24675	0.51770	False	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350
11	8.81300	1000	0.26074	0.53652	False	KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY
11	8.86200	1000	0.26973	0.53842	False	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION
14	11.54000	1000	0.27173	0.53842	False	KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT
11	9.00100	1000	0.28072	0.54613	False	KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY
12	10.02300	1000	0.28771	0.54974	False	KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY
13	11.08700	1000	0.30270	0.56822	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABBERANT_ATXN2_3_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
10	8.54600	1000	0.34765	0.64136	False	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_TRANSPORT_OF_CALCIUM
10	8.84900	1000	0.38861	0.69837	False	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY
11	9.78400	1000	0.39161	0.69837	False	KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
12	11.09300	1000	0.42158	0.72487	False	KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY
10	9.10000	1000	0.42458	0.72487	False	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY
12	11.13700	1000	0.42857	0.72487	False	KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY
10	9.14200	1000	0.43357	0.72487	False	KEGG_MEDICUS_REFERENCE_KISS1_KISS1R_PLCB_PKC_SIGNALING_PATHWAY
